day,weather,holiday,festival,crowd
Monday,Sunny,No,No,Low
Monday,Cloudy,No,No,Low
Monday,Rainy,No,No,Low
Tuesday,Sunny,No,No,Low
Tuesday,Cloudy,No,No,Low
Tuesday,Rainy,No,No,Low
Wednesday,Sunny,No,No,Low
Wednesday,Cloudy,No,No,Low
Wednesday,Rainy,No,No,Low
Thursday,Sunny,No,No,Low
Thursday,Cloudy,No,No,Low
Thursday,Rainy,No,No,Low
Friday,Sunny,No,No,Medium
Friday,Cloudy,No,No,Medium
Friday,Rainy,No,No,Low
Saturday,Sunny,No,No,Medium
Saturday,Cloudy,No,No,Medium
Saturday,Rainy,No,No,Medium
Sunday,Sunny,No,No,High
Sunday,Cloudy,No,No,High
Sunday,Rainy,No,No,Medium
Monday,Sunny,Yes,No,Medium
Monday,Cloudy,Yes,No,Medium
Monday,Rainy,Yes,No,Medium
Tuesday,Sunny,Yes,No,Medium
Tuesday,Cloudy,Yes,No,Medium
Tuesday,Rainy,Yes,No,Medium
Wednesday,Sunny,Yes,No,Medium
Wednesday,Cloudy,Yes,No,Medium
Wednesday,Rainy,Yes,No,Medium
Thursday,Sunny,Yes,No,Medium
Thursday,Cloudy,Yes,No,Medium
Thursday,Rainy,Yes,No,Medium
Friday,Sunny,Yes,No,High
Friday,Cloudy,Yes,No,High
Friday,Rainy,Yes,No,Medium
Saturday,Sunny,Yes,No,High
Saturday,Cloudy,Yes,No,High
Saturday,Rainy,Yes,No,High
Sunday,Sunny,Yes,No,High
Sunday,Cloudy,Yes,No,High
Sunday,Rainy,Yes,No,High
Monday,Sunny,No,Yes,Medium
Monday,Cloudy,No,Yes,Medium
Monday,Rainy,No,Yes,Low
Tuesday,Sunny,No,Yes,Medium
Tuesday,Cloudy,No,Yes,Medium
Tuesday,Rainy,No,Yes,Medium
Wednesday,Sunny,No,Yes,Medium
Wednesday,Cloudy,No,Yes,Medium
Wednesday,Rainy,No,Yes,Medium
Thursday,Sunny,No,Yes,Medium
Thursday,Cloudy,No,Yes,Medium
Thursday,Rainy,No,Yes,Medium
Friday,Sunny,No,Yes,High
Friday,Cloudy,No,Yes,High
Friday,Rainy,No,Yes,Medium
Saturday,Sunny,No,Yes,High
Saturday,Cloudy,No,Yes,High
Saturday,Rainy,No,Yes,High
Sunday,Sunny,No,Yes,High
Sunday,Cloudy,No,Yes,High
Sunday,Rainy,No,Yes,High
Monday,Sunny,Yes,Yes,High
Monday,Cloudy,Yes,Yes,High
Monday,Rainy,Yes,Yes,Medium
Tuesday,Sunny,Yes,Yes,High
Tuesday,Cloudy,Yes,Yes,High
Tuesday,Rainy,Yes,Yes,Medium
Wednesday,Sunny,Yes,Yes,High
Wednesday,Cloudy,Yes,Yes,High
Wednesday,Rainy,Yes,Yes,Medium
Thursday,Sunny,Yes,Yes,High
Thursday,Cloudy,Yes,Yes,High
Thursday,Rainy,Yes,Yes,Medium
Friday,Sunny,Yes,Yes,High
Friday,Cloudy,Yes,Yes,High
Friday,Rainy,Yes,Yes,High
Saturday,Sunny,Yes,Yes,High
Saturday,Cloudy,Yes,Yes,High
Saturday,Rainy,Yes,Yes,High
Sunday,Sunny,Yes,Yes,High
Sunday,Cloudy,Yes,Yes,High
Sunday,Rainy,Yes,Yes,High
