destination,annual_visitors,visitor_type
Taj Mahal,6264225,monument
Sun Temple,3571289,monument
Qutub Minar,3204760,monument
Red Fort,2884399,monument
Bibi Ka Maqbara,2004535,monument
Ellora Caves,1739873,monument
Golkonda Fort,1563524,monument
Agra Fort,1545550,monument
Upper Fort Aguada,1358790,monument
Charminar,1343503,monument
Chandigarh,365591,state
Goa,8175460,state
Delhi,39414622,state
Rajasthan,179050000,state
Uttar Pradesh,478530000,state
Himachal Pradesh,15942118,state
Jammu and Kashmir,20679336,state
Gujarat,178066579,state
Kerala,7537617,state
Karnataka,254000000,state
