destination,annual_visitors,day,weather,holiday,festival,crowd_score,crowd
Taj Mahal,6264225,Monday,Sunny,No,No,23.75,Low
Taj Mahal,6264225,Monday,Cloudy,No,No,23.75,Low
Taj Mahal,6264225,Monday,Rainy,No,No,13.75,Low
Taj Mahal,6264225,Tuesday,Sunny,No,No,23.75,Low
Taj Mahal,6264225,Tuesday,Cloudy,No,No,23.75,Low
Taj Mahal,6264225,Tuesday,Rainy,No,No,13.75,Low
Taj Mahal,6264225,Wednesday,Sunny,No,No,23.75,Low
Taj Mahal,6264225,Wednesday,Cloudy,No,No,23.75,Low
Taj Mahal,6264225,Wednesday,Rainy,No,No,13.75,Low
Taj Mahal,6264225,Thursday,Sunny,No,No,23.75,Low
Taj Mahal,6264225,Thursday,Cloudy,No,No,23.75,Low
Taj Mahal,6264225,Thursday,Rainy,No,No,13.75,Low
Taj Mahal,6264225,Friday,Sunny,No,No,33.75,Low
Taj Mahal,6264225,Friday,Cloudy,No,No,33.75,Low
Taj Mahal,6264225,Friday,Rainy,No,No,23.75,Low
Taj Mahal,6264225,Saturday,Sunny,No,No,33.75,Low
Taj Mahal,6264225,Saturday,Cloudy,No,No,33.75,Low
Taj Mahal,6264225,Saturday,Rainy,No,No,23.75,Low
Taj Mahal,6264225,Sunday,Sunny,No,No,43.75,Medium
Taj Mahal,6264225,Sunday,Cloudy,No,No,43.75,Medium
Taj Mahal,6264225,Sunday,Rainy,No,No,33.75,Low
Taj Mahal,6264225,Monday,Sunny,Yes,No,33.75,Low
Taj Mahal,6264225,Monday,Cloudy,Yes,No,33.75,Low
Taj Mahal,6264225,Monday,Rainy,Yes,No,23.75,Low
Taj Mahal,6264225,Tuesday,Sunny,Yes,No,33.75,Low
Taj Mahal,6264225,Tuesday,Cloudy,Yes,No,33.75,Low
Taj Mahal,6264225,Tuesday,Rainy,Yes,No,23.75,Low
Taj Mahal,6264225,Wednesday,Sunny,Yes,No,33.75,Low
Taj Mahal,6264225,Wednesday,Cloudy,Yes,No,33.75,Low
Taj Mahal,6264225,Wednesday,Rainy,Yes,No,23.75,Low
Taj Mahal,6264225,Thursday,Sunny,Yes,No,33.75,Low
Taj Mahal,6264225,Thursday,Cloudy,Yes,No,33.75,Low
Taj Mahal,6264225,Thursday,Rainy,Yes,No,23.75,Low
Taj Mahal,6264225,Friday,Sunny,Yes,No,43.75,Medium
Taj Mahal,6264225,Friday,Cloudy,Yes,No,43.75,Medium
Taj Mahal,6264225,Friday,Rainy,Yes,No,33.75,Low
Taj Mahal,6264225,Saturday,Sunny,Yes,No,43.75,Medium
Taj Mahal,6264225,Saturday,Cloudy,Yes,No,43.75,Medium
Taj Mahal,6264225,Saturday,Rainy,Yes,No,33.75,Low
Taj Mahal,6264225,Sunday,Sunny,Yes,No,53.75,Medium
Taj Mahal,6264225,Sunday,Cloudy,Yes,No,53.75,Medium
Taj Mahal,6264225,Sunday,Rainy,Yes,No,43.75,Medium
Taj Mahal,6264225,Monday,Sunny,No,Yes,38.75,Low
Taj Mahal,6264225,Monday,Cloudy,No,Yes,38.75,Low
Taj Mahal,6264225,Monday,Rainy,No,Yes,28.75,Low
Taj Mahal,6264225,Tuesday,Sunny,No,Yes,38.75,Low
Taj Mahal,6264225,Tuesday,Cloudy,No,Yes,38.75,Low
Taj Mahal,6264225,Tuesday,Rainy,No,Yes,28.75,Low
Taj Mahal,6264225,Wednesday,Sunny,No,Yes,38.75,Low
Taj Mahal,6264225,Wednesday,Cloudy,No,Yes,38.75,Low
Taj Mahal,6264225,Wednesday,Rainy,No,Yes,28.75,Low
Taj Mahal,6264225,Thursday,Sunny,No,Yes,38.75,Low
Taj Mahal,6264225,Thursday,Cloudy,No,Yes,38.75,Low
Taj Mahal,6264225,Thursday,Rainy,No,Yes,28.75,Low
Taj Mahal,6264225,Friday,Sunny,No,Yes,48.75,Medium
Taj Mahal,6264225,Friday,Cloudy,No,Yes,48.75,Medium
Taj Mahal,6264225,Friday,Rainy,No,Yes,38.75,Low
Taj Mahal,6264225,Saturday,Sunny,No,Yes,48.75,Medium
Taj Mahal,6264225,Saturday,Cloudy,No,Yes,48.75,Medium
Taj Mahal,6264225,Saturday,Rainy,No,Yes,38.75,Low
Taj Mahal,6264225,Sunday,Sunny,No,Yes,58.75,Medium
Taj Mahal,6264225,Sunday,Cloudy,No,Yes,58.75,Medium
Taj Mahal,6264225,Sunday,Rainy,No,Yes,48.75,Medium
Taj Mahal,6264225,Monday,Sunny,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Monday,Cloudy,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Monday,Rainy,Yes,Yes,38.75,Low
Taj Mahal,6264225,Tuesday,Sunny,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Tuesday,Cloudy,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Tuesday,Rainy,Yes,Yes,38.75,Low
Taj Mahal,6264225,Wednesday,Sunny,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Wednesday,Cloudy,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Wednesday,Rainy,Yes,Yes,38.75,Low
Taj Mahal,6264225,Thursday,Sunny,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Thursday,Cloudy,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Thursday,Rainy,Yes,Yes,38.75,Low
Taj Mahal,6264225,Friday,Sunny,Yes,Yes,58.75,Medium
Taj Mahal,6264225,Friday,Cloudy,Yes,Yes,58.75,Medium
